Gene.set.ID	Gene.set.name	p.value	FDR	NES	phenotype	Gene list
HALLMARK_P53_PATHWAY%MSIGDBHALLMARK%HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	0.439578374702482	1	1.00347442924083	1	HBEGF,CTSF,TAP1,NOTCH1,SP1,SOCS1,DDIT4,COQ8A,PTPRE,SEC61A1,ZBTB16,DRAM1,BMP2,F2R,EI24,CDKN1A,PLK3,ERCC5,NINJ1,SLC19A2,PRKAB1,PCNA,H1-2,FAS
HALLMARK_MITOTIC_SPINDLE%MSIGDBHALLMARK%HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	0.990531774569503	1	-0.628587802990309	-1	NEDD9,CEP192,RAPGEF6,CPAP,ARFGEF1,STK38L,TSC1,CDC27,KNTC1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.311550379314029	1	1.10504507454579	1	CADM1,SERPINE2,ADAM12,MCM7,P3H1
HALLMARK_PI3K_AKT_MTOR_SIGNALING%MSIGDBHALLMARK%HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.441471571906354	1	1.0039270164261	1	GSK3B,CDK2,NCK1,MAP3K7,ATF1,MAP2K6,SLA,VAV3,CDK4,IRAK4,MAPKAP1,CDKN1A,ARF1,PRKCB,CLTC,CSNK2B,RAC1,PTPN11
HALLMARK_GLYCOLYSIS%MSIGDBHALLMARK%HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	0.463071049282486	1	0.99145198236786	1	CHST12,DDIT4,PHKA2,P4HA1,EXT2,MXI1,ALDH9A1,EGLN3,COG2,PKP2,RARS1,RBCK1,PGAM1,GOT2,GUSB
HALLMARK_WNT_BETA_CATENIN_SIGNALING%MSIGDBHALLMARK%HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.753953934740883	1	-0.771095938579294	-1	GNAI1,CTNNB1,HDAC2,LEF1,MYC,MAML1
HALLMARK_SPERMATOGENESIS%MSIGDBHALLMARK%HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	0.635651635758339	1	0.88274146995147	1	CCT6B,PHKG2,CHFR,EZH2,PARP2,TOPBP1,NF2,ZC3H14,RPL39L
HALLMARK_APOPTOSIS%MSIGDBHALLMARK%HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	0.311247236217333	1	-1.08507747034063	-1	WEE1,NEDD9,SC5D
HALLMARK_COMPLEMENT%MSIGDBHALLMARK%HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	0.587444543034605	1	0.9293955368751	1	GNB2,WAS,GCA,CTSH,XPNPEP1,CTSO,GNB4,ITGAM,LAP3,CFH
HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	0.423070835876913	1	1.01177623766101	1	PTTG1,ASF1B,CHEK1,MCM7,NUP205,HELLS,NOLC1,SLBP,TUBB,CDK4,CKS1B,CDKN1A,SNRPB,SMC1A,PAN2,BRCA2,EZH2,ATAD2,MAD2L1,POLD2,RPA3,SMC6,PCNA,UBE2S
HALLMARK_G2M_CHECKPOINT%MSIGDBHALLMARK%HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	0.0625768242261705	1	1.32965575391045	1	GINS2,PTTG1,CHEK1,UCK2,DTYMK,NOLC1,KATNA1,CDK4,MNAT1,CKS1B,SMC1A,BRCA2,EZH2,MAD2L1,CBX1,UBE2S
HALLMARK_FATTY_ACID_METABOLISM%MSIGDBHALLMARK%HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	0.840205503616158	1	0.79317221384215	1	ACOT8,ADIPOR2,ACOX1,ALDH9A1,MIX23,ACO2,ECHS1,SUCLG1,ACAT2
HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDBHALLMARK%HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.468015817632007	1	-0.991615052642686	-1	TNFRSF9,NFIL3,CEBPB,PLK2,PHLDA1,SGK1,PANX1,LDLR,RIGI,ZC3H12A,NR4A3,SQSTM1,IFIT2
HALLMARK_CHOLESTEROL_HOMEOSTASIS%MSIGDBHALLMARK%HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.0731311759824998	1	-1.41925088015037	-1	SC5D,NFIL3,ETHE1,SQLE,LDLR,PMVK,GNAI1,HMGCS1,CTNNB1
HALLMARK_INFLAMMATORY_RESPONSE%MSIGDBHALLMARK%HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	0.75939713421372	1	-0.842487801608828	-1	TNFRSF9,ATP2A2,TLR1,LDLR,TNFRSF1B,RAF1,ACVR2A,CCR7,CALCRL,LCP2,EIF2AK2,PTGER2,NAMPT,RGS1,CD55,MYC,IFNAR1,HAS2,NMI,HIF1A,P2RX7,PTGER4,GNA15,KLF6
HALLMARK_TGF_BETA_SIGNALING%MSIGDBHALLMARK%HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	0.398276152743825	1	1.04315273690158	1	MAP3K7,BMP2,IFNGR2,SMURF1,HIPK2
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.857502615851171	1	-0.816355807901079	-1	PNPT1,KLRK1,RIPK1,MTHFD2,ZNFX1,OAS3,IFI27,IFI44L,RAPGEF6,RIGI,IFIT2,ADAR,USP18,FGL2,ARID5B,RNF213,XAF1,LCP2,EIF2AK2,GPR18,NAMPT,IFIT3,IFIT1,STAT1,STAT2,TNFAIP3,TRIM25,HERC6,ISG15,MT2A,STAT4,SP110,SAMD9L,IFI44,PTPN6,TRAFD1,NMI,HIF1A
HALLMARK_UV_RESPONSE_DN%MSIGDBHALLMARK%HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	0.0792356781880556	1	-1.35486496960643	-1	PTEN,IGF1R,MAPK14,PRKCA,RBPMS,LDLR,WDR37,MRPS31,AKT3,TGFBR3,ACVR2A,ATP2B4,KIT,ADD3,NR1D2,FBLN5,ATXN1,AGGF1,DYRK1A,MYC,MGLL,SYNE1
HALLMARK_IL6_JAK_STAT3_SIGNALING%MSIGDBHALLMARK%HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.434992043352974	1	1.01131865047331	1	TYK2,SOCS1,IL17RA,PTPN1,TNF,STAT3,IFNGR2,IL15RA,FAS,PTPN11,PIM1
